"CountyName","RegionName","Date","Price"
"Queens","Ridgewood",2008-04-01,363
"Queens","East Elmhurst",2008-04-01,366
"Kings","Flatlands",2008-04-01,330
"Queens","Ozone Park",2008-04-01,346
"Queens","Queens Village",2008-04-01,330
"Kings","Brownsville",2008-04-01,319
"Queens","Richmond Hill",2008-04-01,341
"Kings","Bay Ridge",2008-04-01,382
"Kings","Bath Beach",2008-04-01,356
"Queens","Bayside",2008-04-01,461
"Queens","Maspeth",2008-04-01,394
"New York","Hamilton Heights",2008-04-01,495
"Queens","Woodside",2008-04-01,396
"Queens","Sunnyside",2008-04-01,387
"Kings","Coney Island",2008-04-01,299
"Queens","Rego Park",2008-04-01,363
"New York","Morningside Heights",2008-04-01,797
"Queens","Kew Gardens Hills",2008-04-01,344
"Queens","Woodhaven",2008-04-01,334
"Kings","Dyker Heights",2008-04-01,414
"Queens","St. Albans",2008-04-01,302
"Queens","Hollis",2008-04-01,292
"Queens","Whitestone",2008-04-01,443
"Kings","Fort Greene",2008-04-01,556
"Kings","Greenwood",2008-04-01,512
"Bronx","Kingsbridge",2008-04-01,274
"Queens","Rochdale",2008-04-01,335
"Queens","Glendale",2008-04-01,359
"Queens","Middle Village",2008-04-01,392
"Kings","Homecrest",2008-04-01,388
"Queens","Bellerose",2008-04-01,365
"New York","Clinton",2008-04-01,1168
"New York","Financial District",2008-04-01,1050
"Queens","Briarwood",2008-04-01,382
"Kings","Brighton Beach",2008-04-01,449
"Queens","Auburndale",2008-04-01,413
"Queens","Laurelton",2008-04-01,329
"Queens","Rosedale",2008-04-01,333
"Queens","Howard Beach",2008-04-01,331
"Queens","College Point",2008-04-01,381
"Kings","Marine Park",2008-04-01,374
"Queens","Douglaston-Little Neck",2008-04-01,462
"Queens","Fresh Meadows",2008-04-01,417
"Queens","Oakland Gardens",2008-04-01,437
"New York","West Village",2008-04-01,1438
"Queens","Kew Gardens",2008-04-01,360
"Kings","Wingate",2008-04-01,296
"Kings","Prospect Heights",2008-04-01,471
"Kings","New Utrecht",2008-04-01,387
"New York","Tribeca",2008-04-01,1265
"New York","Carnegie Hill",2008-04-01,1289
"Queens","Rockaway Park",2008-04-01,318
"New York","Tudor City",2008-04-01,1057
"New York","Battery Park",2008-04-01,1012
"Queens","Cambria Heights",2008-04-01,350
"Queens","Hillcrest",2008-04-01,396
"Queens","Jamaica Estates",2008-04-01,439
"Queens","Glen Oaks",2008-04-01,482
"Queens","Bay Terrace",2008-04-01,523
"Queens","Floral park",2008-04-01,442
"Kings","Boerum Hill",2008-04-01,550
"Queens","Jamaica Hills",2008-04-01,372
"Queens","Arverne",2008-04-01,268
"Kings","Georgetown",2008-04-01,363
"Kings","Downtown",2008-04-01,558
"Queens","Pomonok",2008-04-01,424
"Bronx","Clason Point",2008-04-01,243
"New York","Little Italy",2008-04-01,1291
"Kings","Windsor Terrace",2008-04-01,550
"Queens","Rockaway Beach",2008-04-01,307
"Queens","Springfield Gardens",2008-04-01,346
"Bronx","Country Club",2008-04-01,279
"Kings","Cobble Hill",2008-04-01,599
"Bronx","Woodlawn",2008-04-01,253
"Kings","Manhattan Beach",2008-04-01,555
"Kings","Gerritsen Beach",2008-04-01,373
"Queens","Belle Harbor",2008-04-01,410
"New York","Garment District",2008-04-01,1299
"Kings","Bergen Beach",2008-04-01,370
"Bronx","City Island",2008-04-01,380
"Kings","Columbia Street Waterfront District",2008-04-01,548
"Queens","Utopia",2008-04-01,466
"Queens","Malba",2008-04-01,453
"Queens","Neponsit",2008-04-01,551
"New York","Upper West Side",2008-05-01,1207
"Kings","East New York",2008-05-01,290
"New York","Washington Heights",2008-05-01,487
"Queens","Astoria",2008-05-01,398
"Kings","Flatbush",2008-05-01,367
"Queens","Jamaica",2008-05-01,345
"New York","East Harlem",2008-05-01,718
"Kings","Bushwick",2008-05-01,340
"Kings","East Flatbush",2008-05-01,300
"Queens","Corona",2008-05-01,404
"Kings","Sunset Park",2008-05-01,429
"Kings","Bensonhurst",2008-05-01,361
"New York","Lower East Side",2008-05-01,998
"Bronx","South Bronx",2008-05-01,222
"Queens","Flushing",2008-05-01,340
"Queens","South Ozone Park",2008-05-01,363
"Queens","Murray Hill",2008-05-01,389
"Queens","Forest Hills",2008-05-01,432
"Queens","Far Rockaway",2008-05-01,279
